Filename,Width,Height,DPI Information
D:/Thesis/realism_data/realism\chumaky.jpg,1000,719,
D:/Thesis/realism_data/realism\church of san vitale.jpg,917,671,"(200, 200)"
D:/Thesis/realism_data/realism\château de rosny.jpg,2048,1349,"(1, 1)"
D:/Thesis/realism_data/realism\civita castellana buildings high in the rocks la porta san salvatore.jpg,1024,715,
D:/Thesis/realism_data/realism\civita castellana.jpg,2722,1899,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\clara schmidt von knobelsdorff ready to go out.jpg,1618,2007,"(72, 72)"
"D:/Thesis/realism_data/realism\claude baillot, mp.jpg",504,650,"(96, 96)"
D:/Thesis/realism_data/realism\cliffs near ornans.jpg,1013,818,
"D:/Thesis/realism_data/realism\clément-françois-victor-gabriel prunelle 1774-1853, doctor, major of lyon and deputy.jpg",565,650,"(96, 96)"
D:/Thesis/realism_data/realism\coat-of-arms symbolizing the city of paris.jpg,2340,2864,"(150, 150)"
"D:/Thesis/realism_data/realism\coming out of the forest of fontainebleau, sunset.jpg",758,543,"(96, 96)"
D:/Thesis/realism_data/realism\cottage interior.jpg,1024,710,"(300, 300)"
D:/Thesis/realism_data/realism\cottages in the jura.jpg,1164,831,
"D:/Thesis/realism_data/realism\count antoine-maurice-apollinaire d'argout 1782-1858, minister and peer of france.jpg",606,650,"(96, 96)"
"D:/Thesis/realism_data/realism\count auguste-hilarion de kératry 1769-1859, deputy, peer of france.jpg",1089,1118,"(72.0, 72.0)"
"D:/Thesis/realism_data/realism\count charles francois malo de lameth, deputy.jpg",477,512,
D:/Thesis/realism_data/realism\count francois dominique reynaud montlosier.jpg,512,650,"(96, 96)"
"D:/Thesis/realism_data/realism\count horace françois sebastiani, general and politician.jpg",552,650,"(96, 96)"
D:/Thesis/realism_data/realism\courting an official to his daughter tailor.jpg,626,462,"(400.0, 400.0)"
D:/Thesis/realism_data/realism\courtyard. spring..jpg,1000,734,
D:/Thesis/realism_data/realism\cow in a stable also known as the black cow.jpg,967,623,"(350, 350)"
D:/Thesis/realism_data/realism\cows in the mare.jpg,627,401,
