Filename,Width,Height,DPI Information
D:/Thesis/realism_data/realism\the return of the boating party.jpg,1070,869,
D:/Thesis/realism_data/realism\the return of the prodigal son.jpg,3323,1799,"(400, 400)"
"D:/Thesis/realism_data/realism\the roman cammagna, with the tiber.jpg",1079,554,
D:/Thesis/realism_data/realism\the roman campagna with the claudian aqueduct.jpg,718,459,"(350, 350)"
D:/Thesis/realism_data/realism\the roman odalisque marietta.jpg,992,696,
D:/Thesis/realism_data/realism\the savoyard boy.jpg,986,1141,"(0, 0)"
D:/Thesis/realism_data/realism\the sea at etretat.jpg,800,666,"(72, 72)"
D:/Thesis/realism_data/realism\the sea.jpg,1058,577,"(310, 310)"
"D:/Thesis/realism_data/realism\the seine in bezons, val d'oise.jpg",758,491,"(96, 96)"
D:/Thesis/realism_data/realism\the severes hills le chemin troyon.jpg,1114,709,
D:/Thesis/realism_data/realism\the siege of buda.jpg,1915,1295,"(96, 96)"
D:/Thesis/realism_data/realism\the sleeping embroiderer.jpg,2024,1501,"(72, 72)"
D:/Thesis/realism_data/realism\the sower.jpg,900,1166,"(300, 300)"
D:/Thesis/realism_data/realism\the square of monte cavallo now called ''piazza del quirinale''.jpg,470,283,"(72, 72)"
D:/Thesis/realism_data/realism\the stone breaker.jpg,2024,1642,"(72, 72)"
D:/Thesis/realism_data/realism\the stone breakers.jpg,2048,1249,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\the storm.jpg,1133,952,"(0, 0)"
D:/Thesis/realism_data/realism\the tiber near rome.jpg,707,453,"(72, 72)"
D:/Thesis/realism_data/realism\the tibre river hemmed in by the collines.jpg,1103,713,
D:/Thesis/realism_data/realism\the transport of the wounded i.jpg,3508,2620,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\the valley of bièvre near paris.jpg,1102,703,
D:/Thesis/realism_data/realism\the valley of saint-vincent.jpg,1550,859,"(300, 300)"
D:/Thesis/realism_data/realism\the valley of the loue in stormy weather.jpg,937,772,
D:/Thesis/realism_data/realism\the veteran in a new field.jpg,1107,700,
D:/Thesis/realism_data/realism\the village maidens.jpg,1105,806,
D:/Thesis/realism_data/realism\the wheat sifters.jpg,2024,1588,"(72, 72)"
"D:/Thesis/realism_data/realism\the white cloud, head chief of the iowa.jpg",827,1024,"(97, 97)"
D:/Thesis/realism_data/realism\the widow at a consultation.jpg,528,600,"(96, 96)"
D:/Thesis/realism_data/realism\the woman with gambling mania.jpg,568,680,"(96, 96)"
D:/Thesis/realism_data/realism\the wood sawyers.jpg,2024,1580,"(72, 72)"
D:/Thesis/realism_data/realism\the wounded cuirassier.jpg,536,650,"(96, 96)"
D:/Thesis/realism_data/realism\the wrestlers.jpg,1576,2094,"(300, 300)"
D:/Thesis/realism_data/realism\theobald lacrosse.jpg,340,512,"(72, 72)"
D:/Thesis/realism_data/realism\the avenue of chestnut trees.jpg,600,340,
D:/Thesis/realism_data/realism\the insane.jpg,534,680,"(96, 96)"
D:/Thesis/realism_data/realism\the little fisherman.jpg,1600,1093,"(72, 72)"
D:/Thesis/realism_data/realism\the murderers carry the body of fualdes.jpg,600,445,
D:/Thesis/realism_data/realism\the pond near the road.jpg,640,415,
D:/Thesis/realism_data/realism\the three skulls.jpg,560,295,
D:/Thesis/realism_data/realism\threshing-floor.jpg,750,551,"(96, 96)"
D:/Thesis/realism_data/realism\tomb near cairo.jpg,1000,1401,"(0, 0)"
"D:/Thesis/realism_data/realism\toussaint lemaistre, architect.jpg",606,800,
D:/Thesis/realism_data/realism\town and lake como.jpg,2048,1430,"(1, 1)"
D:/Thesis/realism_data/realism\town in auvergne.jpg,911,634,"(350, 350)"
"D:/Thesis/realism_data/realism\townsfolk on a quay, wijk bij duursrede.jpg",2000,1396,"(0, 0)"
D:/Thesis/realism_data/realism\transnonain street.jpg,2129,1368,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\transport of the wounded petroglyph.jpg,1092,724,"(400, 400)"
D:/Thesis/realism_data/realism\trees and rocks at la serpentara.jpg,759,512,"(350, 350)"
D:/Thesis/realism_data/realism\trees.jpg,727,1000,
D:/Thesis/realism_data/realism\treppenflur bei nachtbeleuchtung.jpg,629,1023,"(72, 72)"
D:/Thesis/realism_data/realism\trinita dei monti from the villa medici.jpg,997,595,
D:/Thesis/realism_data/realism\trophies of the hunt.jpg,850,1200,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\tropical plants.jpg,692,1000,
D:/Thesis/realism_data/realism\trouville.jpg,1124,669,
"D:/Thesis/realism_data/realism\tul-lock-chísh-ko, drinks the juice of the stone choctaw.jpg",1077,1310,"(0, 0)"
"D:/Thesis/realism_data/realism\tul-lock-chísh-ko, drinks the juice of the stone, in ball-player's dress choctaw.jpg",975,1200,"(96, 96)"
"D:/Thesis/realism_data/realism\two italians, an old man and a young boy.jpg",718,502,"(72, 72)"
D:/Thesis/realism_data/realism\two peasant boy with a kite.jpg,470,591,"(72, 72)"
D:/Thesis/realism_data/realism\tôlière.jpg,364,500,"(96, 96)"
D:/Thesis/realism_data/realism\ukrainian landscape.jpg,1000,652,
D:/Thesis/realism_data/realism\ukrainian woman in namitke.jpg,1048,1300,"(72, 72)"
D:/Thesis/realism_data/realism\untitled.jpg,542,462,"(72, 72)"
D:/Thesis/realism_data/realism\valley in the auvergne mountains.jpg,600,414,"(150, 150)"
D:/Thesis/realism_data/realism\valley in the auvergne.jpg,1099,756,
D:/Thesis/realism_data/realism\valley of the loue.jpg,853,577,"(350, 350)"
D:/Thesis/realism_data/realism\variations in flesh colour and green—the balcony.jpg,947,1184,"(350, 350)"
D:/Thesis/realism_data/realism\vasilkovo.jpg,500,434,"(96, 96)"
D:/Thesis/realism_data/realism\venice -  view of campo della carita looking towards the dome of the salute.jpg,1132,763,
D:/Thesis/realism_data/realism\venice gondola on grand canal.jpg,1000,686,"(600, 600)"
D:/Thesis/realism_data/realism\venice view of the esclavons quay.jpg,1131,754,
"D:/Thesis/realism_data/realism\venice, nocturnal festivities on the via eugenia today via garibaldi.jpg",3501,2729,"(300, 300)"
"D:/Thesis/realism_data/realism\view at riva, italian tyrol.jpg",970,665,
D:/Thesis/realism_data/realism\view from dekkersduin.jpg,3048,2728,"(240, 240)"
"D:/Thesis/realism_data/realism\view from villeneuve lés avignon, saint andré fort.jpg",2048,1367,"(1, 1)"
D:/Thesis/realism_data/realism\view in the neighbourhood of oranienbaum.jpg,1000,678,"(72, 72)"
D:/Thesis/realism_data/realism\view near naples.jpg,1106,699,
"D:/Thesis/realism_data/realism\view of albano, near rome.jpg",500,392,"(96, 96)"
D:/Thesis/realism_data/realism\view of castel gandolfo near rome.jpg,750,524,"(96, 96)"
D:/Thesis/realism_data/realism\view of genoa.jpg,800,551,
D:/Thesis/realism_data/realism\view of haarlem.jpg,1280,883,"(180, 180)"
D:/Thesis/realism_data/realism\view of moscow from sparrow hills.jpg,1000,671,
"D:/Thesis/realism_data/realism\view of mountains, auvergne.jpg",512,298,"(96, 96)"
D:/Thesis/realism_data/realism\view of palace square and the general headquarters building in st. petersburg.jpg,1476,1123,"(72, 72)"
D:/Thesis/realism_data/realism\view of palace square and winter palace in st. petersburg.jpg,853,575,"(0, 0)"
D:/Thesis/realism_data/realism\view of pechersk lavra in kyiv from the dnieper.jpg,1000,748,
D:/Thesis/realism_data/realism\view of pierrefonds.jpg,1064,683,
"D:/Thesis/realism_data/realism\view of pincio, italy.jpg",715,588,"(350, 350)"
D:/Thesis/realism_data/realism\view of the forest of fontainebleau.jpg,1280,930,
"D:/Thesis/realism_data/realism\view of the grand canal, venice, from the riva degli schiavone.jpg",1129,545,
D:/Thesis/realism_data/realism\view of the kremlin from the krimsky bridge in inclement weather.jpg,1000,750,"(72, 72)"
D:/Thesis/realism_data/realism\view of the neva and the peter and paul fortress.jpg,1000,697,"(72, 72)"
D:/Thesis/realism_data/realism\view of the outskirts of moscow with a manor and two female figures.jpg,1000,750,
D:/Thesis/realism_data/realism\view of the passazh department store in 1848.jpg,549,368,"(72, 72)"
D:/Thesis/realism_data/realism\view of the pastures of the limousin.jpg,1024,746,"(72, 72)"
D:/Thesis/realism_data/realism\view of the plain of montmartre x effect of storm.jpg,1920,1159,"(96, 96)"
D:/Thesis/realism_data/realism\view of the pont au change from quai de gesvres.jpg,1061,716,
D:/Thesis/realism_data/realism\view of the swiss alps mount small ruhen.jpg,795,1000,
D:/Thesis/realism_data/realism\view of the winter palace from the west.jpg,549,331,"(72, 72)"
D:/Thesis/realism_data/realism\view of the belfry of orleans.jpg,407,512,
D:/Thesis/realism_data/realism\village in valley.jpg,1294,720,
D:/Thesis/realism_data/realism\village mount okulova.jpg,1000,712,
D:/Thesis/realism_data/realism\ville d'avray the chemin de corot.jpg,1130,906,
D:/Thesis/realism_data/realism\ville d'avray the pond and the cabassud house.jpg,800,563,
"D:/Thesis/realism_data/realism\vilnius cathedral, lithuania.jpg",780,546,"(150, 150)"
D:/Thesis/realism_data/realism\vilnius city panorama from subachius street.jpg,562,406,"(200, 200)"
D:/Thesis/realism_data/realism\volouski.jpg,338,512,"(72, 72)"
D:/Thesis/realism_data/realism\voltarra the citadel.jpg,1038,575,
"D:/Thesis/realism_data/realism\volterra, church and bell tower.jpg",1126,779,
D:/Thesis/realism_data/realism\volterra.jpg,1060,642,
D:/Thesis/realism_data/realism\véron.jpg,342,512,"(72, 72)"
D:/Thesis/realism_data/realism\waiting for the stage.jpg,1258,1024,
D:/Thesis/realism_data/realism\warrant officer hassan-beck dzhagranov.jpg,622,1000,
D:/Thesis/realism_data/realism\washerwomen at the oise river near valmondois.jpg,3630,1930,
D:/Thesis/realism_data/realism\water carrier.jpg,2123,3042,"(72.0, 72.0)"
"D:/Thesis/realism_data/realism\water mill, thiers.jpg",448,550,"(0, 0)"
D:/Thesis/realism_data/realism\we want barabbas ecce homo.jpg,995,1366,"(300, 300)"
D:/Thesis/realism_data/realism\wet-nurse with a child.jpg,944,1200,"(72.0, 72.0)"
"D:/Thesis/realism_data/realism\what is called vagrancy or, the hunters of vincennes.jpg",806,562,"(300, 300)"
D:/Thesis/realism_data/realism\white bull and blond heifer.jpg,960,757,
"D:/Thesis/realism_data/realism\windmill on the cote de picardie, near versailles.jpg",906,572,
D:/Thesis/realism_data/realism\winter scene in holland.jpg,700,494,
"D:/Thesis/realism_data/realism\wintry street on vasilievsky island, st. petersburg.jpg",500,388,"(96, 96)"
D:/Thesis/realism_data/realism\woman and child on a bridge.jpg,460,600,"(96, 96)"
D:/Thesis/realism_data/realism\woman baking bread.jpg,2024,2435,"(72, 72)"
D:/Thesis/realism_data/realism\woman cleaning turnips.jpg,2024,2554,"(72, 72)"
D:/Thesis/realism_data/realism\woman sitting with nude breasts.jpg,1256,1712,"(72, 72)"
D:/Thesis/realism_data/realism\woman with mandolin.jpg,1256,1771,"(1, 1)"
"D:/Thesis/realism_data/realism\wooded plateau, fountainebleau.jpg",929,611,"(350, 350)"
D:/Thesis/realism_data/realism\worthington whittredge.jpg,887,1280,"(300, 300)"
D:/Thesis/realism_data/realism\young girl playing mandolin.jpg,356,480,"(0, 0)"
D:/Thesis/realism_data/realism\young girl with a large cap on her head.jpg,664,1070,
D:/Thesis/realism_data/realism\young italian woman from papigno with her spindle.jpg,635,1032,
D:/Thesis/realism_data/realism\young man with naked shoulder.jpg,513,603,"(96, 96)"
D:/Thesis/realism_data/realism\zakharka.jpg,593,800,"(72, 72)"
